student_id,assessment_id,question_id,points_earned,max_points,submitted_on
1001,U1Q1,Q001,2,2,2026-09-10
1001,U1Q1,Q002,2,2,2026-09-10
1001,U1Q1,Q003,1,2,2026-09-10
1001,U1Q1,Q004,2,2,2026-09-10
1001,U1Q1,Q005,0,2,2026-09-10
1001,U1Q1,Q006,8,10,2026-09-10
1002,U1Q1,Q001,1,2,2026-09-10
1002,U1Q1,Q002,2,2,2026-09-10
1002,U1Q1,Q003,2,2,2026-09-10
1002,U1Q1,Q004,1,2,2026-09-10
1002,U1Q1,Q005,2,2,2026-09-10
1002,U1Q1,Q006,6,10,2026-09-10
1003,U1Q1,Q001,2,2,2026-09-10
1003,U1Q1,Q002,1,2,2026-09-10
1003,U1Q1,Q003,2,2,2026-09-10
1003,U1Q1,Q004,2,2,2026-09-10
1003,U1Q1,Q005,1,2,2026-09-10
1003,U1Q1,Q006,7,10,2026-09-10
1004,U1Q1,Q001,0,2,2026-09-10
1004,U1Q1,Q002,2,2,2026-09-10
1004,U1Q1,Q003,1,2,2026-09-10
1004,U1Q1,Q004,0,2,2026-09-10
1004,U1Q1,Q005,0,2,2026-09-10
1004,U1Q1,Q006,4,10,2026-09-10
1001,U2Q1,Q007,2,2,2026-10-08
1001,U2Q1,Q008,2,2,2026-10-08
1001,U2Q1,Q009,2,2,2026-10-08
1001,U2Q1,Q010,1,2,2026-10-08
1001,U2Q1,Q011,2,2,2026-10-08
1001,U2Q1,Q012,9,10,2026-10-08
1002,U2Q1,Q007,2,2,2026-10-08
1002,U2Q1,Q008,2,2,2026-10-08
1002,U2Q1,Q009,1,2,2026-10-08
1002,U2Q1,Q010,2,2,2026-10-08
1002,U2Q1,Q011,2,2,2026-10-08
1002,U2Q1,Q012,8,10,2026-10-08
1005,U3Q1,Q013,3,4,2026-11-05
1005,U3Q1,Q014,2,4,2026-11-05
1005,U3Q1,Q015,4,4,2026-11-05
1005,U3Q1,Q016,5,8,2026-11-05
1006,U7Q1,Q023,4,5,2027-03-10
1006,U7Q1,Q024,10,15,2027-03-10
1007,U7Q1,Q023,3,5,2027-03-10
1007,U7Q1,Q024,8,15,2027-03-10
